contract_version,source_block_id,source_system,source_object,storage_path,grain,source_columns,join_keys,join_scope,output_fields,availability_stage,as_of_requirement,late_update_rule,train_inference_flag,operational_status,evidence_refs,notes
feature-source-timing-contract-v1,entry_card_core,KRA_API,API214_1.response.body.items.item[],races.basic_data.horses[],race_entry,chulNo|hrNo|hrName|jkNo|jkName|trNo|trName|owNo|owName|age|sex|rank|rating|wgBudam|wgBudamBigo|wgHr|ilsu,rcDate + rcNo + meet + chulNo,self_materialized,prediction_input.age|prediction_input.age_prime|prediction_input.allowance_flag|prediction_input.class_code|prediction_input.draw_no|prediction_input.rating|prediction_input.rest_days|prediction_input.rest_risk_code|prediction_input.sex_code|prediction_input.weight_delta|prediction_input.wgBudam|prediction_input.wgHr_value,L0,DIRECT_PRE_RACE,pre-cutoff 최신 리비전만 잠그고 cutoff 이후 재발행은 잠긴 입력을 덮어쓰지 않는다,ALLOW,허용,docs/holdout-entry-finalization-rule.md|docs/prerace-data-whitelist-blacklist-policy.md|docs/table-column-availability-map.md|apps/api/services/race_processing_workflow.py|apps/api/services/collection_service.py|apps/api/services/kra_api_service.py,기본 출전표 카드의 비시장 사전 정보 블록
feature-source-timing-contract-v1,entry_card_postrace_fields,KRA_API,API214_1.response.body.items.item[],races.raw_data.tagged_field_shadow.*,race_entry,ord|ordBigo|rankRise|diffUnit|buG1fOrd|buG2fOrd|buG3fOrd|buG4fOrd|buS1fOrd|sjG1fOrd|sjG3fOrd|sjS1fOrd|buG1fAccTime|buG2fAccTime|buG3fAccTime|buG4fAccTime|buS1fAccTime,같은 API214_1 row 내부 혼입,self_materialized,blocked_source.current_race_postrace_fields,L+1,POSTRACE_ONLY,raw/shadow 보존만 허용하고 feature 생성·조인에서는 항상 차단,BLOCK,금지,docs/prerace-data-whitelist-blacklist-policy.md|packages/scripts/evaluation/leakage_checks.py|apps/api/services/prerace_storage_policy.py,동일 원천 API 안에 섞여 들어오는 사후 결과/구간기록 블록
feature-source-timing-contract-v1,entry_card_market_odds,KRA_API,API214_1.response.body.items.item[],races.basic_data.horses[],race_entry,winOdds|plcOdds,rcDate + rcNo + meet + chulNo,self_materialized,prediction_input.odds_rank|prediction_input.plcOdds|prediction_input.plcOdds_rr|prediction_input.winOdds|prediction_input.winOdds_rr,?,TIMING_UNVERIFIED,실측 로그로 pre-cutoff 공개가 확인되기 전까지 raw 저장과 연구만 허용,HOLD,보류,docs/prerace-data-whitelist-blacklist-policy.md|docs/kra-race-lifecycle-timing-matrix.md|data/contracts/prediction_input_field_registry_v1.csv,시장 odds와 odds 의존 파생은 최종 운영 기준선에서 보류
feature-source-timing-contract-v1,race_plan_feature_block,KRA_API,API72_2.response.body.items.item,races.basic_data.race_plan,race,rank|budam|rcDist|ageCond|sexCond,rcDate + rcNo + meet,race_key,prediction_input.budam_code|prediction_input.dist|prediction_input.is_handicap|prediction_input.is_mile|prediction_input.is_route|prediction_input.is_sprint,L-1,DIRECT_PRE_RACE,pre-cutoff 최신 정상 row만 채택하고 cutoff 이후 정정은 잠긴 입력에 반영하지 않는다,ALLOW,허용,docs/holdout-entry-finalization-rule.md|docs/prerace-data-whitelist-blacklist-policy.md|docs/table-column-availability-map.md|docs/prerace-source-schema.md|apps/api/services/race_processing_workflow.py|apps/api/services/collection_service.py|apps/api/services/kra_api_service.py,경주 조건과 거리 기반 파생의 upstream
feature-source-timing-contract-v1,race_plan_cutoff_anchor,KRA_API,API72_2.response.body.items.item,races.basic_data.race_plan.sch_st_time,race,schStTime,rcDate + rcNo + meet,race_key,metadata.operational_cutoff_at|metadata.entry_finalized_at,L0 snapshot,PRE_CUTOFF_SNAPSHOT,scheduled_start_at 기준 cutoff를 계산한 뒤 cutoff 이후 재발행은 감사 로그만 남긴다,META_ONLY,메타 전용,docs/holdout-entry-finalization-rule.md|docs/holdout-snapshot-filtering-format.md|docs/kra-race-lifecycle-timing-matrix.md,피처는 아니지만 출전표 확정 시점 이후 정보 여부를 판정하는 핵심 anchor
feature-source-timing-contract-v1,track_snapshot_block,KRA_API,API189_1.response.body.items.item,races.basic_data.track,race,weather|track|waterPercent,rcDate + rcNo + meet,race_key,prediction_input.track_pct|prediction_input.weather_code|prediction_input.wet_track,L0 snapshot,PRE_CUTOFF_SNAPSHOT,cutoff 이전 snapshot만 허용하고 이후 주로 변동은 잠긴 입력을 갱신하지 않는다,ALLOW_SNAPSHOT_ONLY,조건부 허용,docs/holdout-entry-finalization-rule.md|docs/prerace-data-whitelist-blacklist-policy.md|docs/table-column-availability-map.md|docs/prerace-source-schema.md|apps/api/services/race_processing_workflow.py|apps/api/services/collection_service.py|apps/api/services/kra_api_service.py,날씨/주로 상태는 변동 가능하므로 snapshot 고정이 필수
feature-source-timing-contract-v1,cancelled_horses_snapshot_block,KRA_API,API9_1.response.body.items.item[],races.basic_data.cancelled_horses[],race_entry,chulNo|hrNo|hrName|cancelReason,rcDate + rcNo + meet (+ chulNo),race_key,prediction_input.cancelled_count|prediction_input.field_size_live,L0 snapshot,PRE_CUTOFF_SNAPSHOT,cutoff 이후 추가 취소는 운영 로그에만 남기고 잠긴 field_size_live를 덮어쓰지 않는다,ALLOW_SNAPSHOT_ONLY,조건부 허용,docs/holdout-entry-finalization-rule.md|docs/prerace-data-whitelist-blacklist-policy.md|docs/table-column-availability-map.md|docs/prerace-source-schema.md|apps/api/services/race_processing_workflow.py|apps/api/services/collection_service.py|apps/api/services/kra_api_service.py,실출전 두수와 취소 카운트는 cutoff 이전 취소 목록만 사용
"feature-source-timing-contract-v1",same_race_core_aggregates,INTERNAL_DERIVED,same-race aggregate over races.basic_data.horses[],races.enriched_data.horses[].computed_features,race_entry,rating|wgBudam|wgHr|chulNo,"same race_id, ordered by chul_no",same_race_aggregate,prediction_input.burden_ratio|prediction_input.draw_rr|prediction_input.field_size|prediction_input.is_large|prediction_input.rating_rank|prediction_input.rating_rr|prediction_input.wgBudam_rr|prediction_input.wg_budam_rank,L0,DIRECT_PRE_RACE,부모 entry_card_core snapshot이 잠긴 뒤에만 같은 경주 집계를 재계산한다,ALLOW,허용,packages/scripts/feature_engineering.py|packages/scripts/autoresearch/research_clean.py|data/contracts/prediction_input_field_registry_v1.csv|packages/scripts/shared/prerace_field_policy.py,현재 경주 내부 순위/상대화 파생
feature-source-timing-contract-v1,horse_detail_history_block,KRA_API,API8_2.response.body.items.item,races.basic_data.horses[].hrDetail,horse,hrNo|rcCntT|rcCntY|ord1CntT|ord2CntT|ord3CntT|ord1CntY|ord2CntY|ord3CntY|totalPrize,horses[].hr_no -> API8_2.hrNo,horse_id,prediction_input.horse_low_sample|prediction_input.horse_place_rate|prediction_input.horse_starts_y|prediction_input.horse_top3_skill|prediction_input.horse_win_rate|prediction_input.hr_starts_t|prediction_input.hr_starts_y|prediction_input.total_place_rate|prediction_input.year_place_rate,L-1,STORED_AS_OF_SNAPSHOT,과거 재조회 최신값이 아니라 당시 저장본만 허용하고 누락 시 null 유지,ALLOW_STORED_ONLY,조건부 허용,docs/holdout-entry-finalization-rule.md|docs/prerace-data-whitelist-blacklist-policy.md|docs/table-column-availability-map.md|docs/prerace-source-schema.md|apps/api/services/race_processing_workflow.py|apps/api/services/collection_service.py|apps/api/services/kra_api_service.py,말 누적 이력은 사전 정보지만 시점 오염을 막기 위해 stored-only
feature-source-timing-contract-v1,jockey_detail_history_block,KRA_API,API12_1.response.body.items.item,races.basic_data.horses[].jkDetail,jockey,jkNo|rcCntT|rcCntY|ord1CntT|ord2CntT|ord3CntT|ord1CntY|ord2CntY|ord3CntY|winRateT|winRateY,horses[].jk_no -> API12_1.jkNo,jockey_id,prediction_input.jk_place_rate_y|prediction_input.jockey_form|prediction_input.jockey_place_rate|prediction_input.jockey_recent_win_rate|prediction_input.jockey_total_place_rate|prediction_input.jockey_win_rate,L-1,STORED_AS_OF_SNAPSHOT,당시 저장본만 허용하고 재조회 최신값으로 덮어쓰지 않는다,ALLOW_STORED_ONLY,조건부 허용,docs/holdout-entry-finalization-rule.md|docs/prerace-data-whitelist-blacklist-policy.md|docs/table-column-availability-map.md|docs/prerace-source-schema.md|apps/api/services/race_processing_workflow.py|apps/api/services/collection_service.py|apps/api/services/kra_api_service.py,기수 누적 성적 detail 블록
