metadata_schema_version,field_path,field_role,source_api,source_field,availability_stage,publication_basis,publication_basis_refs,exception_rule,validation_status,validation_evidence,operational_status,train_inference_flag,join_key,value_type,mutable_after_publish,owner,last_verified_at,notes
prerace-field-metadata-v1,schema_version,derived,INTERNAL,SCHEMA_VERSION,L0,출전표 확정 시점 공통 스키마 버전을 payload와 함께 고정한다,"[""packages/scripts/shared/prerace_source_schema.py"", ""docs/prerace-standard-field-catalog.md""]",스키마 버전 문자열은 snapshot 생성 시점 값을 그대로 유지,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,불변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,race_date,source,API214_1,rcDate,L0,출전표 기본 카드에서 경주일을 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",모든 item에서 동일한 값이어야 하며 YYYYMMDD 문자열로 정규화,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,race_no,source,API214_1,rcNo,L0,출전표 기본 카드에서 경주번호를 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",정수 경주번호로 정규화해 저장,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,meet,source,API214_1,meet,L0,출전표 기본 카드에서 개최지 코드를 직접 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",서울/제주/부경 alias를 1/2/3 meet 코드로 정규화,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,date,derived,INTERNAL,race_date,L0,하위 호환을 위해 race_date를 date alias로 함께 저장한다,"[""packages/scripts/shared/prerace_source_schema.py"", ""docs/prerace-standard-field-catalog.md""]",race_date와 동일한 값을 유지,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,불변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,race_number,derived,INTERNAL,race_no,L0,하위 호환을 위해 race_no를 race_number alias로 함께 저장한다,"[""packages/scripts/shared/prerace_source_schema.py"", ""docs/prerace-standard-field-catalog.md""]",race_no와 동일한 값을 유지,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,불변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,race_info.response.body.items.item[],source,API214_1,response.body.items.item[],L0,출전표 원본 envelope 전체를 저장해 필드 인벤토리와 감사 근거로 사용한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prerace-standard-field-catalog.md""]",원본 보존은 허용하지만 모델 입력 생성 시 사후 필드는 별도 차단 규칙을 적용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,array,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,collected_at,metadata,INTERNAL,collected_at,L0,수집 시각은 cutoff 감사와 재현성 검증에 필요하다,"[""packages/scripts/shared/prerace_source_schema.py"", ""docs/prerace-standard-field-catalog.md""]",snapshot 생성 당시의 수집 시각을 그대로 유지,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,불변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,status,metadata,INTERNAL,status,L0,수집 성공/실패 상태는 snapshot 품질 판단의 기본 메타데이터다,"[""packages/scripts/shared/prerace_source_schema.py"", ""docs/prerace-standard-field-catalog.md""]",정상 snapshot 판정은 status와 함께 읽는다,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,failed_horses[],metadata,INTERNAL,failed_horses[],L0,말 단위 soft-fail은 후속 재수집과 품질 진단에 필요하다,"[""packages/scripts/shared/prerace_source_schema.py"", ""docs/prerace-standard-field-catalog.md""]",예측 생성은 계속하되 실패한 말 목록을 감사 로그로 보존,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",선택,ALLOW,,array,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,race_plan.rank,source,API72_2,rank,L-1,경주계획표에서 경주 등급을 사전 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prompts/data-go-kr-api-application.md""]",대상 rcNo와 일치하는 row만 채택,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,race_plan.budam,source,API72_2,budam,L-1,경주계획표에서 부담조건을 사전 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prompts/data-go-kr-api-application.md""]",대상 rcNo와 일치하는 row만 채택,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,race_plan.rc_dist,source,API72_2,rcDist,L-1,경주계획표에서 경주 거리를 사전 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prompts/data-go-kr-api-application.md""]",대상 rcNo와 일치하는 row만 채택,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,race_plan.age_cond,source,API72_2,ageCond,L-1,경주계획표에서 연령 조건을 사전 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prompts/data-go-kr-api-application.md""]",대상 rcNo와 일치하는 row만 채택,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",필수,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,race_plan.sex_cond,source,API72_2,sexCond,L-1,경주계획표에서 성별 조건을 사전 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prompts/data-go-kr-api-application.md""]",대상 rcNo와 일치하는 row만 채택,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",선택,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,race_plan.chaksun1,source,API72_2,chaksun1,L-1,경주계획표에서 1착 상금 구조를 사전 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prompts/data-go-kr-api-application.md""]",대상 rcNo와 일치하는 row만 채택,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",선택,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,race_plan.chaksun2,source,API72_2,chaksun2,L-1,경주계획표에서 2착 상금 구조를 사전 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prompts/data-go-kr-api-application.md""]",대상 rcNo와 일치하는 row만 채택,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",선택,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,race_plan.chaksun3,source,API72_2,chaksun3,L-1,경주계획표에서 3착 상금 구조를 사전 제공한다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/prompts/data-go-kr-api-application.md""]",대상 rcNo와 일치하는 row만 채택,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",선택,ALLOW,,scalar,가변,shared.prerace_field_metadata_schema,,
